Node_Type,Count
go to x: <node_variable> y: <node_variable>,8
when i start as a clone,5
touching <node_value> ?,13
<node_value> of <node_variable>,7
move <node_variable> steps,3
change <node_variable> by <node_variable>,3
hide variable <node_variable>,6
repeat until <node_value>,4
change <node_variable> by <node_value>,6
say <node_variable>,3
when backdrop switches to <node_value>,13
glide <value> secs to x: <value> y: <value>,9
touching <node_value>,3
think <value> for <value> seconds,13
go to <node_value>,16
forever,3
change <node_value> effect by <value>,4
key <node_value> pressed ?,13
change x by <value>,5
stop all sounds,11
